"Date","LWSA3.SA.Open","LWSA3.SA.High","LWSA3.SA.Low","LWSA3.SA.Close","LWSA3.SA.Volume","LWSA3.SA.Adjusted"
2021-01-13,25.0249996185303,25.7749996185303,23.25,25.7749996185303,14865600,25.1146945953369
2021-01-14,26.0575008392334,27.3500003814697,25.3775005340576,27.25,10321200,26.551908493042
2021-01-15,27.25,28.1000003814697,26.5,27.0699996948242,7665600,26.3765201568604
2021-01-18,27.3724994659424,28.3374996185303,27.1275005340576,27.6825008392334,6176000,26.9733276367188
2021-01-19,27.7525005340576,27.9375,26.1224994659424,26.2824993133545,7234000,25.6091938018799
2021-01-20,26.7250003814697,27.4850006103516,26.2875003814697,27.3500003814697,3847600,26.6493453979492
2021-01-21,27.5,29.4475002288818,27.5,29.4025001525879,9161200,28.6492652893066
2021-01-22,29.1399993896484,29.3974990844727,28.4025001525879,28.5650005340576,8141200,27.8332214355469
2021-01-26,28.9074993133545,30.0450000762939,27.7824993133545,27.7824993133545,9284400,27.070764541626
2021-01-27,28.4750003814697,28.4750003814697,24.5249996185303,24.5249996185303,13454400,23.8967151641846
2021-01-28,24.5249996185303,25.9424991607666,23.875,25.9174995422363,11516800,25.2535438537598
2021-01-29,25.3875007629395,25.8500003814697,25.0249996185303,25.5550003051758,4365200,24.9003295898438
2021-02-01,26.2999992370605,27.2999992370605,25.8999996185303,26.6599998474121,5036600,25.9770221710205
2021-02-02,27,28.3500003814697,26.1200008392334,27.8400001525879,4652100,27.1267929077148
2021-02-03,27.75,28.6200008392334,27.2999992370605,27.7000007629395,3508000,26.9903812408447
2021-02-04,27.5599994659424,29.4500007629395,27.0200004577637,28.9799995422363,4333400,28.2375888824463
2021-02-05,29.3400001525879,30.25,28.7199993133545,29.9599990844727,5360000,29.1924819946289
2021-02-08,30.1499996185303,32,30.0100002288818,31.9899997711182,6007200,31.1704769134521
2021-02-09,32.0699996948242,33.3499984741211,30.6000003814697,30.7000007629395,8540500,29.9135265350342
2021-02-10,30,30.3299999237061,27.6299991607666,27.6299991607666,12875400,26.9221725463867
2021-02-11,27.6299991607666,29.9300003051758,26.4699993133545,29.2900009155273,14976600,28.5396461486816
2021-02-12,29.1800003051758,29.8199996948242,28.4699993133545,29.1399993896484,6840300,28.3934879302979
2021-02-17,28.7000007629395,30.0499992370605,28.2800006866455,30.0499992370605,11107200,29.2801761627197
2021-02-18,30.5,31.75,30.1499996185303,30.5300006866455,10590400,29.7478809356689
2021-02-19,31.2900009155273,35.060001373291,30.9300003051758,34.9900016784668,21335200,34.0936279296875
2021-02-22,33.5900001525879,33.9900016784668,32.2000007629395,32.8600006103516,12742800,32.0181922912598
2021-02-23,33.0999984741211,33.5800018310547,30.8299999237061,31.4599990844727,8180800,30.6540546417236
2021-02-24,32.0499992370605,32.1500015258789,30.4899997711182,31.8799991607666,7521800,31.0632953643799
2021-02-25,32.25,32.75,29.25,29.8500003814697,10412700,29.0853004455566
2021-02-26,30.2000007629395,30.2900009155273,27.7999992370605,28.7800006866455,8530800,28.0427131652832
